video_id,title,channel_name,published_date,views,likes,comment_count,video_url,Atomberg,Havells,Crompton,Orient
XY-mLcbkiIY,Atomberg Renesa Helo Smart Bldc Fan ❄️🌪️ #fan #shorts #atomberg #smart #bldc,Travel with Sajal,2025-05-07T02:03:02Z,15913,90,3,https://youtube.com/watch?v=XY-mLcbkiIY,True,False,False,False
VynLdhM_A4A,You NEED This Smart Fan to Beat the Summer Heat 🥵🪭 Dreo Pedestal Fan,This is Tech Today,2024-06-07T15:39:23Z,184395,2455,52,https://youtube.com/watch?v=VynLdhM_A4A,False,False,False,False
fOPTEScGGHI,Unleash the Turbowind power with TurboPoly™ Fan 508S! #dreo #smartphone #homecomfort #tech,DREO,2025-06-13T22:00:43Z,24435,153,4,https://youtube.com/watch?v=fOPTEScGGHI,False,False,False,False
EqbYfPfdXHQ,How to reset Atomberg Fan . Atomberg renesa smart plus #atomberg #shorts #atombergfan #smartgadgets,TrueTips,2023-10-25T08:14:11Z,230569,1433,102,https://youtube.com/watch?v=EqbYfPfdXHQ,True,False,False,False
YG75g6duhNQ,2024 New Bladeless Fan Light2024 new bladeless fan light #interiordesign #lampfactory, aleadhomelightings,2024-04-23T02:09:43Z,258288,1918,28,https://youtube.com/watch?v=YG75g6duhNQ,False,False,False,False
51BkaQLRbjg,Wi-Fi Smart fan from Atomberg Resena Smart+ unboxing #atomberg #smartfan #unboxing #fans,D.R.V Goyal,2025-08-15T18:03:11Z,505,2,0,https://youtube.com/watch?v=51BkaQLRbjg,True,False,False,False
jQ3TZst68XE,😍New Smart cooling fan with voice and remote control #youtubeshorts #viral #shorts,Khadija Ameer,2023-07-16T02:45:02Z,7130,63,3,https://youtube.com/watch?v=jQ3TZst68XE,False,False,False,False
hHwJKSlv9u8,Best Quiet Smart Fan? Levoit R432 Review! [VIRAL],HOME HAPPY DREAMS,2025-06-30T17:21:32Z,4268,23,0,https://youtube.com/watch?v=hHwJKSlv9u8,False,False,False,False
oPtheqMD9ew,V-Guard smart fan install | #shorts #ytshorts #youtubeshorts #shortsfeed,Electric science expert short,2025-03-24T04:48:00Z,12979,159,2,https://youtube.com/watch?v=oPtheqMD9ew,False,False,False,False
3tfd_RVWtFE,8 Blades BLDC Fan | Kühl Platin D8 Review 😊,Sumit Jaiswal - PRONIX,2023-06-08T14:27:12Z,572269,5213,67,https://youtube.com/watch?v=3tfd_RVWtFE,False,False,False,False
NDKD-B_i3mg,Best Ceiling Fans 2025 | BLDC Fans,The Grapevine,2025-03-15T05:30:08Z,189282,1955,167,https://youtube.com/watch?v=NDKD-B_i3mg,True,True,True,True
